,iter,method,num_tweets_tested,num_tweets_predicted_right,real_acc,adj_acc
382,76,PassiveAggressiveClassifier: C = 0.01,54,0.0,0.0,0.46
383,76,MultinomialNB TfidfVectorizer,54,0.0,0.0,0.46
384,76,LinearSVC: C = 0,54,0.0,0.0,0.46
385,77,MultinomialNB CountVectorizer,56,0.0,0.0,0.44
386,77,SGDClassifier,56,0.0,0.0,0.44
387,77,PassiveAggressiveClassifier: C = 0.01,56,0.0,0.0,0.44
388,77,MultinomialNB TfidfVectorizer,56,0.0,0.0,0.44
389,77,LinearSVC: C = 0,56,0.0,0.0,0.44
390,78,MultinomialNB CountVectorizer,56,2.0,0.03571428571428571,0.46
391,78,SGDClassifier,56,0.0,0.0,0.44
392,78,PassiveAggressiveClassifier: C = 0.01,56,0.0,0.0,0.44
393,78,MultinomialNB TfidfVectorizer,56,0.0,0.0,0.44
394,78,LinearSVC: C = 0,56,2.0,0.03571428571428571,0.46
395,79,MultinomialNB CountVectorizer,49,3.0,0.061224489795918366,0.54
396,79,SGDClassifier,49,1.9999999999999998,0.04081632653061224,0.53
397,79,PassiveAggressiveClassifier: C = 0.01,49,1.9999999999999998,0.04081632653061224,0.53
398,79,MultinomialNB TfidfVectorizer,49,0.0,0.0,0.51
399,79,LinearSVC: C = 0,49,1.9999999999999998,0.04081632653061224,0.53
400,80,MultinomialNB CountVectorizer,49,0.9999999999999999,0.02040816326530612,0.52
401,80,SGDClassifier,49,0.0,0.0,0.51
